,0
0,0.7747080640446234
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.7784313724452936
7,1.0
8,0.778111356576759
9,0.778895634087939
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.7885888988270419
16,0.787320227769349
17,1.0
18,1.0
19,0.7871422056191323
20,1.0
21,0.7877190576148129
22,1.0
23,1.0
24,1.0
25,1.0
26,0.7913012550536146
27,1.0
28,1.0
29,0.7916315392736336
30,0.7918203296279925
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,0.7881526704197502
38,1.0
39,0.7888153128248684
40,1.0
41,1.0
42,0.7900015384017854
43,1.0
44,1.0
45,0.7877632253051802
46,1.0
47,1.0
48,1.0
49,0.7903636878200075
50,0.7928325769645418
51,0.79201999604971
52,1.0
53,1.0
54,1.0
55,1.0
56,0.7955545649781638
57,0.7952225603196381
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,0.7903713363990166
64,1.0
65,1.0
66,0.7888698910280674
67,0.7880887975259733
68,1.0
69,0.785569209107831
70,0.7853841741566912
71,1.0
72,1.0
73,1.0
74,1.0
75,0.7809849286664409
76,1.0
77,0.7826698088080366
78,0.5606336725458364
79,1.0
80,0.7832156293884005
81,0.7824511562578566
82,0.784074575307315
83,1.0
84,0.7850022284848768
85,0.7860914803315588
86,0.7887707333134543
87,1.0
88,1.0
89,1.0
90,1.0
91,0.7906136062320025
92,0.7899805182073818
93,1.0
94,1.0
95,0.7868280081525905
96,0.7857735244659884
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,0.7513238155644679
104,0.7514278410357937
105,0.7526638032740192
106,1.0
107,1.0
108,1.0
109,1.0
110,0.7546157760534349
111,0.75595635052837
112,1.0
113,0.7568357137695315
114,1.0
115,0.756049856875359
116,1.0
117,1.4204313907197013
118,0.5619882696227964
119,1.0
120,0.7546981531092266
121,0.7547317653911085
122,0.7545261422923867
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,0.7542687642477062
130,1.0
131,0.7516780379784556
132,0.749692134171624
133,0.7498330185397932
134,0.7485173259466695
135,0.7474986623239854
136,0.7504524274625805
137,1.0
138,1.0
139,1.0
140,0.747992749903365
141,0.748439560964175
