Date,org_price,pred_price,error
2017-11-16,0.109582709868,0.0981014483077,0.0114812615608
2017-11-17,0.00653698450691,-0.200053440684,0.206590425191
2017-11-20,0.0947534017624,0.341674966656,0.246921564894
2017-11-21,0.475342751096,0.397626265182,0.0777164859136
2017-11-22,0.935758662753,0.587566436871,0.348192225882
2017-11-23,0.00653698450691,0.365252476398,0.358715491891
2017-11-24,0.280276839495,0.135606508555,0.14467033094
2017-11-27,0.0784140073408,0.325718077049,0.247304069708
2017-11-28,-0.962175779875,-0.436024826171,0.526150953704
2017-11-29,-0.460422386674,-0.94295973834,0.482537351666
2017-11-30,-0.699199116387,-0.330548009896,0.36865110649
2017-12-01,0.109856377815,0.0256497857152,0.0842065920996
2017-12-04,0.842783685314,0.549817483704,0.29296620161
2017-12-05,-0.461827840962,-0.0792764291339,0.382551411828
2017-12-06,-2.36339866386,-2.06503629951,0.298362364358
2017-12-07,-0.0540248957131,0.024239881505,0.0782647772181
2017-12-08,0.0822319721722,0.129599277693,0.0473673055204
2017-12-11,0.0821584033126,0.0844840471794,0.00232564386681
2017-12-12,0.518822653345,0.729773505236,0.210950851891
2017-12-13,0.201522981858,-0.0952783500645,0.296801331922
2017-12-14,0.454648445925,0.455693197512,0.00104475158698
2017-12-15,0.407642509648,0.497222991403,0.0895804817549
2017-12-18,1.32881549384,0.68721044848,0.64160504536
2017-12-19,0.0211034680624,0.123240338914,0.102136870852
2017-12-20,0.1665885769,0.198513262054,0.0319246851538
2017-12-21,0.85942159109,0.665466104738,0.193955486351
2017-12-22,0.0640226699327,0.320955603539,0.256932933606
2017-12-25,0.821126422489,0.289348374339,0.53177804815
2017-12-26,-0.0361241908383,0.286814965603,0.322939156441
2017-12-27,0.304675166163,0.318724746468,0.014049580305
2017-12-28,0.500909258387,0.787917914695,0.287008656308
2017-12-29,0.24553199013,0.361736981433,0.116204991303
2018-01-02,-0.712661694086,-0.310532245477,0.402129448609
2018-01-03,-0.291546807126,-0.250642923577,0.0409038835499
2018-01-04,0.0349751689187,-0.352477027731,0.38745219665
2018-01-05,-0.00768080843982,0.305455395973,0.313136204413
2018-01-08,-0.621631997059,-0.476421162087,0.145210834971
2018-01-09,0.235549281361,0.000363342260292,0.235185939101
2018-01-10,0.106518292765,-0.129938450353,0.236456743118
2018-01-11,0.26304338721,0.380813102266,0.117769715056
2018-01-12,-0.535971841617,-0.0583940881426,0.477577753475
2018-01-15,0.0208621013079,-0.188522133413,0.209384234721
2018-01-16,0.149643281396,0.716390820383,0.566747538987
2018-01-17,-1.0442423994,-1.033799268,0.0104431314006
2018-01-18,-0.13851688242,-0.269796399878,0.131279517458
2018-01-19,-0.0370319601786,0.254481790269,0.291513750448
2018-01-22,-0.0806741641914,-0.220391870845,0.139717706653
2018-01-23,-0.008007715355,0.17981926747,0.187826982825
2018-01-24,-1.25458956226,-1.0452129615,0.20937660076
2018-01-25,1.23856597233,1.5234817578,0.284915785465
2018-01-26,-0.124536859343,-0.134621555822,0.0100846964793
2018-01-29,-0.0080404153829,-0.383337133736,0.375296718353
2018-01-30,-0.476055816364,-0.107528681811,0.368527134553
2018-01-31,-0.228529271884,-0.239818539184,0.0112892673
2018-02-01,0.00653698450691,0.508266518262,0.501729533755
2018-02-02,0.226932387326,0.0140181439616,0.212914243365
2018-02-05,-0.449636997781,-0.592375408978,0.142738411198
2018-02-06,-0.126403122852,0.588495897504,0.714899020356
2018-02-07,0.00653698450691,-0.557372760378,0.563909744885
2018-02-08,-1.44086625619,-1.32908030486,0.111785951331
2018-02-09,-0.628624678914,-0.350450461988,0.278174216926
2018-02-12,0.021720294475,-0.661626998791,0.683347293266
2018-02-13,0.701785607625,0.567553872933,0.134231734692
2018-02-14,0.978481334394,1.10834969919,0.129868364796
2018-02-22,0.243934183728,1.3354005089,1.09146632517
2018-02-23,1.13898852625,0.372584642636,0.766403883615
2018-02-26,-0.13960669423,-0.365229206719,0.225622512489
2018-02-27,-0.169198542903,0.1400439465,0.309242489404
2018-02-28,-0.84849218785,-0.693794469557,0.154697718293
2018-03-01,-0.543862835248,-0.667593155494,0.123730320246
2018-03-02,-0.0830850699607,-0.100967668284,0.0178825983231
2018-03-05,-0.292950959096,-0.0872046232541,0.205746335842
2018-03-06,0.186368046881,0.129597592455,0.0567704544266
2018-03-07,0.111246815131,0.64790716218,0.536660347049
2018-03-08,-0.473291071904,-0.384920334544,0.08837073736
2018-03-09,-1.06876731063,-0.736012266142,0.332755044483
2018-03-12,0.780439114309,1.04581435476,0.265375240455
2018-03-13,-0.326359512628,-0.45663070225,0.130271189622
2018-03-14,0.324332681656,0.259003766824,0.0653289148314
2018-03-15,0.232741829417,0.245826237495,0.0130844080785
2018-03-16,0.0366480033364,-0.427303436542,0.463951439878
2018-03-19,-0.734558464203,-0.128713995458,0.605844468745
2018-03-20,-0.145578160101,-0.392663341195,0.247085181094
2018-03-21,-0.773910203269,-0.640696012957,0.133214190313
2018-03-22,0.420689866818,0.296427651842,0.124262214976
2018-03-23,-1.36706044259,-0.878955880885,0.488104561701
2018-03-26,-1.29668596535,-0.239939938572,1.05674602678
2018-03-27,0.354101253226,-0.368766114557,0.722867367783
2018-03-28,-0.198654194744,0.288417423652,0.487071618396
2018-03-29,0.620494241085,0.177711785585,0.442782455501
2018-03-30,0.568998747287,0.39945448924,0.169544258048
2018-04-02,0.425730961761,0.390668083797,0.035062877964
2018-04-03,0.361855391886,0.22409230887,0.137763083016
2018-04-04,-0.0242959351295,0.65362825473,0.677924189859
