,0
0,100000.00000000001
1,100000.00000000001
2,100000.00000000001
3,100000.00000000001
4,8759.822455539519
5,100000.00000000001
6,17275.985855317806
7,100000.00000000001
8,100000.00000000001
9,100000.00000000001
10,14258.268355461389
11,64737.85262984531
12,100000.00000000001
13,26902.767987460535
14,34120.8035230455
15,100000.00000000001
16,100000.00000000001
17,100000.00000000001
18,25638.16589771181
19,100000.00000000001
20,84125.92237934709
21,23954.14383251603
22,100000.00000000001
23,100000.00000000001
24,100000.00000000001
25,100000.00000000001
26,100000.00000000001
27,100000.00000000001
28,100000.00000000001
29,43959.89943685873
30,3255.0226121651503
31,100000.00000000001
32,100000.00000000001
33,6315.699472008249
34,100000.00000000001
35,100000.00000000001
36,100000.00000000001
37,94147.26229078397
38,100000.00000000001
39,99302.44895269476
40,11026.807845556623
41,100000.00000000001
42,100000.00000000001
43,100000.00000000001
44,100000.00000000001
45,100000.00000000001
46,3105.067330223908
47,100000.00000000001
48,100000.00000000001
49,0.045127979984534806
50,100000.00000000001
51,100000.00000000001
52,68820.64541516746
53,100000.00000000001
54,14646.772590343082
55,100000.00000000001
56,100000.00000000001
57,100000.00000000001
58,100000.00000000001
59,100000.00000000001
60,100000.00000000001
61,100000.00000000001
62,100000.00000000001
63,100000.00000000001
64,100000.00000000001
65,100000.00000000001
66,100000.00000000001
67,100000.00000000001
68,40668.8282872376
69,100000.00000000001
70,5256.209286879603
71,100000.00000000001
72,100000.00000000001
73,100000.00000000001
74,100000.00000000001
75,100000.00000000001
76,100000.00000000001
77,33921.9581830523
78,65964.83225985557
79,100000.00000000001
80,100000.00000000001
81,100000.00000000001
82,100000.00000000001
83,68912.06832180034
84,100000.00000000001
85,100000.00000000001
86,100000.00000000001
87,32655.994519519772
88,100000.00000000001
89,11298.788609362262
90,100000.00000000001
91,100000.00000000001
92,2605.597998765524
93,100000.00000000001
94,100000.00000000001
95,95806.63363996254
96,100000.00000000001
97,100000.00000000001
98,2938.2531104727723
99,100000.00000000001
100,100000.00000000001
101,54114.35283780486
102,3938.3630429176774
103,100000.00000000001
104,100000.00000000001
105,100000.00000000001
106,100000.00000000001
107,100000.00000000001
108,100000.00000000001
109,100000.00000000001
110,100000.00000000001
111,93853.8818828537
112,100000.00000000001
113,39092.299960403325
114,632.9377652780378
115,100000.00000000001
116,100000.00000000001
117,100000.00000000001
118,100000.00000000001
119,100000.00000000001
120,8240.180492046868
121,100000.00000000001
122,100000.00000000001
123,64607.99212641751
124,100000.00000000001
125,100000.00000000001
126,100000.00000000001
127,100000.00000000001
128,100000.00000000001
129,79243.41748132935
130,100000.00000000001
131,100000.00000000001
132,100000.00000000001
133,100000.00000000001
134,100000.00000000001
135,63366.96726027808
136,100000.00000000001
137,79990.57080388804
138,100000.00000000001
139,100000.00000000001
140,100000.00000000001
141,68806.64644897125
142,100000.00000000001
143,100000.00000000001
144,100000.00000000001
145,93382.29491168061
146,3133.049094214511
147,100000.00000000001
148,100000.00000000001
149,100000.00000000001
150,234.35663707697304
151,0.6946619577908066
152,90.1377254129562
153,100000.00000000001
154,61078.962048468136
155,100000.00000000001
156,51353.74275624912
157,100000.00000000001
158,54152.744204184004
159,20.843674171678188
160,93799.87836428834
161,85.6971302340263
162,1.9630551834978727
163,37894.746268981755
164,100000.00000000001
165,6.781205109521373
166,1.7786021133236223
167,44514.32194656369
168,8350.070613937869
169,100000.00000000001
170,100000.00000000001
