,0
0,9.999999999999997e-06
1,0.0006865651511237884
2,0.0002575469956768817
3,9.999999999999997e-06
4,9.999999999999997e-06
5,0.006228748711219709
6,9.906990453605719e-05
7,0.00027251178208107413
8,9.999999999999997e-06
9,0.000326211304619346
10,0.0013651840019619802
11,9.999999999999997e-06
12,9.999999999999997e-06
13,0.00024973232445699655
14,4.181343864343538e-05
15,9.999999999999997e-06
16,9.999999999999997e-06
17,9.999999999999997e-06
18,9.999999999999997e-06
19,9.999999999999997e-06
20,9.999999999999997e-06
21,0.0007308302763216363
22,3.0352117734250185e-05
23,0.0020491663933814136
24,2.968330383764754e-05
25,0.002532156576186352
26,9.80909918323983e-05
27,0.0004749301321135401
28,0.00024202732629588508
29,0.007244199079484442
30,0.0001931331859538637
31,9.999999999999997e-06
32,4.557167923194468e-05
33,9.999999999999997e-06
34,0.001079200572798932
35,0.00013116280516096144
36,0.00030427543022558943
37,9.999999999999997e-06
38,0.00670998844557711
39,9.999999999999997e-06
40,0.0001488530054761222
41,9.999999999999997e-06
42,0.0016056749131809005
43,0.008077722675543202
44,9.999999999999997e-06
45,9.999999999999997e-06
46,9.999999999999997e-06
47,9.999999999999997e-06
48,9.999999999999997e-06
49,9.999999999999997e-06
50,3.0207277049016914e-05
51,9.999999999999997e-06
52,9.999999999999997e-06
53,9.999999999999997e-06
54,9.999999999999997e-06
55,0.0001649597570128144
56,0.0004744605120107872
57,9.999999999999997e-06
58,9.999999999999997e-06
59,9.069109155079366e-05
60,8.666988528358191e-05
61,9.999999999999997e-06
62,1.4078369748845314e-05
63,9.999999999999997e-06
64,9.999999999999997e-06
65,9.999999999999997e-06
66,2.0139962857583955e-05
67,9.999999999999997e-06
68,0.00018510889488408187
69,9.999999999999997e-06
70,9.999999999999997e-06
71,9.999999999999997e-06
72,9.999999999999997e-06
73,0.0030792092224623964
74,0.007428449812634094
75,9.999999999999997e-06
76,9.999999999999997e-06
77,9.037253560086826e-05
78,0.0003422152990983706
79,9.999999999999997e-06
80,9.999999999999997e-06
81,0.010250214140947162
82,9.999999999999997e-06
83,9.999999999999997e-06
84,9.999999999999997e-06
85,0.0004880535305988933
86,0.002493270964614998
87,9.999999999999997e-06
88,9.999999999999997e-06
89,9.999999999999997e-06
90,9.999999999999997e-06
91,9.999999999999997e-06
92,0.002828327285373127
93,9.999999999999997e-06
94,9.999999999999997e-06
95,9.999999999999997e-06
96,0.0005731228563141753
97,0.0001967966822228606
98,9.999999999999997e-06
99,0.00027226724065902225
100,9.999999999999997e-06
101,0.0003691148264703154
102,1.664290323959567e-05
103,0.002732908492870374
104,0.02104686705047943
105,0.0001594538687382516
106,9.999999999999997e-06
107,9.999999999999997e-06
108,0.003665324549137519
109,0.0018907492784545794
110,1.9235072120329814e-05
111,0.005022221440446598
112,9.999999999999997e-06
113,9.999999999999997e-06
114,9.999999999999997e-06
115,9.999999999999997e-06
116,2.61963590514909e-05
117,1.3650438684349134e-05
118,9.99999999999998e-06
119,9.999999999999997e-06
120,9.999999999999997e-06
121,0.00030110786317677897
122,0.0001259662199984725
123,9.999999999999997e-06
124,0.0010068284160574714
125,9.999999999999997e-06
126,9.999999999999997e-06
127,9.999999999999997e-06
128,9.999999999999997e-06
129,9.999999999999997e-06
130,0.0005864322267422359
131,9.999999999999997e-06
132,9.999999999999997e-06
133,9.999999999999997e-06
134,2.8533264014108142e-05
135,6.599987749046568e-05
136,9.999999999999997e-06
137,0.0005444983656003717
138,9.999999999999997e-06
139,9.999999999999997e-06
140,4.742322174601311e-05
141,0.0018544633022166983
