,0
0,0.030396307695032602
1,2754.9238698031936
2,2757.6943157413125
3,38.79057141908969
4,7.233836050670635
5,2235.4375128517945
6,0.3609182749958722
7,3281.7056042660556
8,29.675979005773108
9,27.828284530773782
10,35.17003989226144
11,4.851811109104494
12,46.637821877682626
13,301.5093348391326
14,985.119222326529
15,57253.50776740987
16,149.5038878087128
17,167.13843680763827
18,46.19980982326735
19,4638.298370259718
20,54304.53363977878
21,35.67761659725301
22,893.8580488867022
23,35.695283971271536
24,1.663609466842047
25,2.890801682989562e-05
26,61595.86345361665
27,1730.8506388418402
28,166.64293465414727
29,6208.947898582867
30,8071.530630990362
31,36.376939284640294
32,99286.87172738762
33,2693.1214543300443
34,36.105105792817994
35,21.215066941784624
36,0.0020233590850018573
37,809.5188734275537
38,407.97567483866635
39,14.806677131814332
40,163.61456399786687
41,3.0036527521512236e-05
42,48.14917114129994
43,123.73213871238127
44,59941.63289258986
45,31044.972080103427
46,190.42522051615748
47,1.8545709534062267
48,36.32951734881976
49,17.525310779976653
50,26.264600476245906
51,3897.0433907674983
52,5153.796238492576
53,0.15834371109193326
54,28.34914954584517
55,29447.377038590526
56,37.41477501397458
57,0.027615372355347743
58,100000.00000000001
59,1882.347328147778
60,14910.116798155406
61,7208.419475155206
62,478.18234763589663
63,39.37317524349751
64,1394.0665640639004
65,32.99704663002727
66,39.682834567880505
67,100000.00000000001
68,49.95188797099144
69,13856.37370964829
70,1158.6461559114173
71,23.764387218024158
72,40.689873152359624
73,0.028627612393194578
74,17.728430830715148
75,11138.409959140601
76,41.89138944624522
77,2166.2806319857773
78,0.13057251846468684
79,5074.232153324768
80,9.999999999999997e-06
81,940.5710105590218
82,42.55668370009458
83,42.47977694803196
84,6032.562120946256
85,1606.972467144113
86,10569.9954709053
87,37080.75153325597
88,42.77622823119718
89,0.021512766769242773
90,39.861362335042706
91,14168.391920084334
92,231.87232485671933
93,34994.72532278532
94,49344.08758187512
95,805.9125734510735
96,6946.214166477294
97,100000.00000000001
98,159.21172896885685
99,4656.464918048343
100,225.80482823380348
101,825.9700107846708
102,51926.3254512883
103,1617.4541547711779
104,37.440069263981
105,3276.4847927651754
106,9.424836694900447
107,92.2009772673809
108,0.006973886747257465
109,474.0737153193741
110,3869.6768689851388
111,178.63205942164583
112,37.75966821977269
113,29099.297637514326
114,26749.032489123496
115,1764.9047296505503
116,4.888939538421922
117,1395.4063847521159
118,546.7908782676606
119,1235.7734261779715
120,4287.513269820823
121,112.02199327274636
122,7211.787819230073
123,2101.967365653515
124,536.9536122557844
125,1614.9687510936749
126,98.38575816363185
127,100000.00000000001
128,30.047706503336038
129,4142.205183806404
130,11630.667620939294
131,19339.235098054483
132,5991.9219705936275
133,309.03611594481674
134,1501.83772984465
135,10.913087641111881
136,269.9186240239197
137,97534.1977129705
138,12439.485284620738
139,50.44978747873294
140,50.70846535742916
141,14.8427399376004
142,25627.783880941028
143,49433.58389620233
144,0.014803531950203638
145,671.5051219305652
146,798.9095570764102
147,1887.5027827095253
148,84.74189151338595
149,845.7348634742335
150,16847.021260214853
151,22216.373113296762
152,22.4486635122179
153,17175.959072019443
154,7648.698938027727
155,1785.9145186262556
156,1789.4759598465218
157,1784.7234265342286
158,78810.71108918393
159,9305.198783061665
160,2.0907670072954827e-05
161,157.49823069687773
162,1962.0448018505788
163,1.0000000000052596e-05
164,419.08581456752
165,0.8307419811595038
166,19.412133673367222
167,180.8998088402512
168,3099.391589915193
169,31.427476709176368
170,362.5715371801825
